case_id,citation,decision_date,has_termination,has_discipline,has_retaliation,has_coercion,has_privacy_violation,has_exclusion,has_mental_stress,claim_to_termination_days,timeline_flags
2020onwsiat191,2020 ONWSIAT 191 (CanLII),2020-01-23,0,0,0,0,0,0,0,,
2020onwsiat192,2020 ONWSIAT 192 (CanLII),2020-01-23,0,0,0,0,0,0,1,,
2020onwsiat193,2020 ONWSIAT 193 (CanLII),2020-01-24,0,0,0,0,0,0,1,,
2020onwsiat194,2020 ONWSIAT 194 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat195,2020 ONWSIAT 195 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat196,2020 ONWSIAT 196 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat197,2020 ONWSIAT 197 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat198,2020 ONWSIAT 198 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat199,2020 ONWSIAT 199 (CanLII),2020-01-24,0,0,0,0,0,0,1,,
2020onwsiat200,2020 ONWSIAT 200 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat201,2020 ONWSIAT 201 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat202,2020 ONWSIAT 202 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat203,2020 ONWSIAT 203 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat204,2020 ONWSIAT 204 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat205,2020 ONWSIAT 205 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat206,2020 ONWSIAT 206 (CanLII),2020-01-24,0,0,0,0,0,0,0,,
2020onwsiat207,2020 ONWSIAT 207 (CanLII),2020-01-27,0,0,0,0,0,0,0,,
2020onwsiat208,2020 ONWSIAT 208 (CanLII),2020-01-27,1,0,0,0,0,0,0,,
2020onwsiat209,2020 ONWSIAT 209 (CanLII),2020-01-27,0,0,0,0,0,0,0,,
2020onwsiat210,2020 ONWSIAT 210 (CanLII),2020-01-27,0,0,0,0,0,0,0,,
2020onwsiat211,2020 ONWSIAT 211 (CanLII),2020-01-27,0,0,0,0,0,0,0,,
2020onwsiat212,2020 ONWSIAT 212 (CanLII),2020-01-27,0,0,0,0,0,0,0,,
2020onwsiat213,2020 ONWSIAT 213 (CanLII),2020-01-27,0,0,0,0,0,0,0,,
2020onwsiat214,2020 ONWSIAT 214 (CanLII),2020-01-27,0,0,0,0,0,0,0,,
